📥  LANETKEL — SPONSOR & DIŞ GELİR TABLOSU,,,,,,,,,,,,,,,,,
"Toplam 68 anlaşma  ·  $371,199 toplam gelir  ·  Firma bazlı + Ay bazlı + Tarih detayı",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
📊  AY BAZLI GELİR ÖZETİ,,,,,,,,,,,,,,,,,
#,Dönem,,,Oca,Şub,Mar,Nis,May,Haz,Tem,Ağu,Eyl,Eki,Kas,Ara,"YILLIK
TOPLAM",Anlaşma Sayısı
39,12.09.2025,TRbet,Website+SosyalMedya+Telegram,4.000 $,❌ Sona Erdi,8fdcd7a7d5fe6e08228c7bf5c1c56e4daaa1269a35f6967e08579968bbfd541d,,,,,,,,,,,
40,17.09.2025,Truvabet,Website+Video,10.000 $,❌ Sona Erdi,7c4c862bedabeb178a2312d5a5c7f21228415323512d6b7d6dce3c822ce18f89,,,,,,,,,,,
41,17.09.2025,Pusulabet,Website,3.000 $,❌ Sona Erdi,9c901fd7e78d509269b9031a6c504180ec373d97b0b95215b8dfbcb24a88595d,,,,,,,,,,,
42,21.09.2025,Betovis,Website+Video,10.000 $,❌ Sona Erdi,2c9b7e697b70ce4820b3e5f18fb7f868e29d0c1944c1f53717e22f633bc42992,,,,,,,,,,,
43,26.09.2025,Oynacasino,Website,3.499 $,❌ Sona Erdi,1774297a200e21f91b0c3d5877a5dba66316a7a83c5f8866295217d72697843b,,,,,,,,,,,
44,03.10.2025,Ganobet,Website,6.500 $,❌ Sona Erdi,b575c691c8f817201518571046614d8545e2f997ba16f0e45e807c2bd932e151,,,,,,,,,,,
45,15.10.2025,TRbet,Website+SosyalMedya+Telegram,4.000 $,❌ Sona Erdi,1d0afdef17d62755535977baa523d1bb663ba91d5d9d0b40219bff8f6f53d9a7,,,,,,,,,,,
46,19.10.2025,Moldebet,Website,5.000 $,❌ Sona Erdi,7706163689160a3c21caab28df373cda4748ec445fdc8725d8e2cd5139198c53,,,,,,,,,,,
47,22.10.2025,Pusulabet,Website,3.000 $,❌ Sona Erdi,2dab61b0e733228e249926ee93fc2a73e86ebca9cb168ef95e7f616f9eab9dc7,,,,,,,,,,,
48,22.10.2025,Madridbet,Website,9.500 $,❌ Sona Erdi,6c7a24a7a346bd54d4e9b11dccd5b43043831317ce1a6e56b43cd2ea584e0022,,,,,,,,,,,
49,22.10.2025,Merit King,Website,,❌ Sona Erdi,,,,,,,,,,,,
50,03.11.2025,Ganobet,Website,5.000 $,❌ Sona Erdi,238ad40ec2c3dbda7e1272a604665c905c47c26a7606b09c1bdd0687b364e1de,,,,,,,,,,,
51,04.11.2025,Mrbahis,Website,4.500 $,❌ Sona Erdi,a49d3d739afa85a5a5e2b57178b6acc5336505324168bf835c1c75e760102f1e,,,,,,,,,,,
52,26.11.2025,TRbet,Website+SosyalMedya+Telegram,4.000 $,❌ Sona Erdi,448d68841e1d2e0ec4801c48754d76e1f9f6739a2f55fd951bc0de895cc42aa3,,,,,,,,,,,
53,26.11.2025,Madridbet,Website,9.500 $,❌ Sona Erdi,c8886431784cb1975093edc869289677c20c9f7ea6d6b02499978dbfe33ffe5f,,,,,,,,,,,
54,26.11.2025,King Royal,Website,,❌ Sona Erdi,,,,,,,,,,,,
55,20.12.2025,Cassinox,Website+SosyalMedya+Telegram,6.500 $,❌ Sona Erdi,f540ef2741e8653258f60d1fcf33284b1ed100a1364b6a2a025f912e296d5db8,,,,,,,,,,,
56,29.12.2025,TRbet,Website+SosyalMedya+Telegram,4.000 $,✔️ Anlaşma,a30178ffeb64963866b47abf518dd1d4550eed66c4b60d3c1b94656036501ee9,,,,,,,,,,,
57,31.12.2025,Atlasbet,Website,12.500 $,✔️ Anlaşma,ad0176be612c6b8ea0bef09ec5a4205a9039a36eac3ccc88988028d3c26d532a,,,,,,,,,,,
58,31.12.2025,Betplay,Website,12.500 $,✔️ Anlaşma,cc03e167055766be06d32da1f58cd8fc25913c8eed6f9a2b239ea81b0bb1d359,,,,,,,,,,,
59,10.01.2026,MersoBahis,Website,10.000 $,✔️ Anlaşma,34495c6d646eac6a01613c9bd3ea0e6eac11585cbc79ee4cf506eb09d2624b46,,,,,,,,,,,
60,12.10.2026,AMG Bahis,Website,10.000 $,✔️ Anlaşma,2d2f73b1b2a504f4c3b884a5f0e63102a8d9a9a7ab2da0cdd0cc6e7972a7cf75,,,,,,,,,,,
61,21.01.2026,Betpuan,Website,12.000 $,✔️ Anlaşma,3cc95894572d5d4deb7445fe1cc56599f49f7e20d86f27fe34fc3bc7ac23a4f1,,,,,,,,,,,
62,28.01.2026,Mrbahis,Website,4.500 $,✔️ Anlaşma,3a60b7c913fc44f82fd82aeaed62c31f496c5f78b9495939e4978f7a3c82a71a,,,,,,,,,,,
63,09.02.2026,Betra,Website,14.000 $,✔️ Anlaşma,27c312ee6f66b36ab4485ce590729d539ad9095d58519984439902a71c892e0c,,,,,,,,,,,
64,09.02.2026,Netbahis,Website,,✔️ Anlaşma,,,,,,,,,,,,
65,10.02.2026,Maxwin,Website,10.000 $,✔️ Anlaşma,41abaa2b7794dcc607cb00205eb3be5a222270d35ea8ff918e943f0a7851fb15,,,,,,,,,,,
66,22.02.2026,Exonbet,Website,10.000 $,✔️ Anlaşma,41539ee162ee25a29b2ead22e77bfa4a5dcd10d6e66770b27c4c8c26d31e5319,,,,,,,,,,,
67,03.03.2026,DBbet,Website,10.000 $,✔️ Anlaşma,c213da229a9c4dc1b20404ac50f4f70c70985eccf1ac70d800b2944d6e565319,,,,,,,,,,,
68,27.03.2026,Eypbet,Tişört Tanıtım (Website),6.000 $,✔️ Anlaşma,2ecd80060c064e3d589cbb8a97ded10085319bd5858ad2baf4365456958e7678,,,,,,,,,,,
TOPLAM,,,,371.199 $,Toplam: 68 anlaşma,,,,,,,,,,,,
